type,code,name,opening,current,active
Customer,100443,ZAKARIYA TRADERS KARIYANWALA,0.0,0.0,True
Customer,100444,KHAN TRADERS KARIYANWALA,0.0,0.0,True
Customer,100445,WARIACH TRADERS DULLANWALA,0.0,0.0,True
Customer,100446,DAWOOD TRADERS DINGA,0.0,0.0,True
Customer,100448,HAQ TRADERS CHAKWAL,0.0,0.0,True
Customer,100449,TAHIR GABBA FAISALABAD,0.0,0.0,True
Customer,100450,OLYMPIA PACKAGES,0.0,0.0,True
Customer,100451,HAFIZ KARYANA AIRPORT ROAD,0.0,0.0,True
Customer,100453,AL MADINA G.STORE DULLANWALA,0.0,0.0,True
Customer,100454,HUSSAN K.S SAROKI BRIDGE,0.0,0.0,True
Customer,100457,MALIK TUFAIL BHAREELA SHAREF,0.0,0.0,True
Customer,100459,MAA SHAA ALLAH TRADERS DEWONA MANDI,0.0,0.0,True
Customer,100460,BUTT TRADERS DEWONA MANDI,0.0,0.0,True
Customer,100461,HAIDERIA SHOP DEWONA MANDI,0.0,0.0,True
Customer,100462,BUTT SUPER STORE DEWONA MANDI,0.0,0.0,True
Customer,100463,NADEEM DASKA,0.0,0.0,True
Customer,100464,MAQBOOL KHAN,0.0,0.0,True
Customer,100465,S.B TRADERS,0.0,0.0,True
Customer,100466,ABDULLAH GENERAL STORE KARIYAWALA,0.0,0.0,True
Customer,100468,SHIMLA FOODS GUJRAT,0.0,0.0,True
Customer,100471,MALIK ARSHAD,0.0,0.0,True
Customer,100473,WARRAICH TRADERS MANGOWAL,0.0,0.0,True
Customer,100474,MOHSIN KARYANA TANDA,0.0,0.0,True
Customer,100476,HANIF KARYANA DEONA MANDI,0.0,0.0,True
Customer,100477,FARYAD KARYANA BHARILLA SHARIF,0.0,0.0,True
Customer,100480,FINE BLADE LAHORE,0.0,0.0,True
Customer,100481,SHEIKH TARIQ,0.0,0.0,True
Customer,100484,ISMAIL TRADERS,0.0,0.0,True
Customer,100488,ISHAQ TRADERS GUJRAT MANDI,0.0,0.0,True
Customer,100491,H.A.M TRADERS LAHORE,0.0,0.0,True
Customer,100492,ALI KARYANA STORE JPJ,0.0,0.0,True
Customer,100493,ALI TRADERS DOLATNAGAR,0.0,0.0,True
Customer,100494,BUTT TRADERS PARIANWALI,0.0,0.0,True
Customer,100496,MEHAR FAYYAZ TRADERS SURHPUR,0.0,0.0,True
Customer,100497,ITEFAQ CERAMICS GUJRAT,0.0,0.0,True
Customer,100498,MAA SHAA ALLAH TRADERS HAJI YASIR JPJ,0.0,0.0,True
Customer,100501,S MART GUJRAT,0.0,0.0,True
Customer,100502,CBS MART GUJRAT,0.0,0.0,True
Customer,100504,MIAN SUFHAN MANGOWAL,0.0,0.0,True
Customer,100505,MALIK YOUNAS KARYANA JPJ,0.0,0.0,True
Customer,100506,IRFAN KARYANA JPJ,0.0,0.0,True
Customer,100507,S.F KARYANA JPJ,0.0,0.0,True
Customer,100508,PAINT WORK NEW CONSTRUCTION,0.0,0.0,True
Customer,100509,R.G MART,0.0,0.0,True
Customer,100510,MR. MART,0.0,0.0,True
Customer,100511,FRESH VALLEY,0.0,0.0,True
Customer,100512,PACER MART,0.0,0.0,True
Customer,100513,RANJHA TRADERS RAMKEY BAILPUR,0.0,0.0,True
Customer,100514,AZHAR SARGODHA,0.0,0.0,True
Customer,100515,UNITED DETERGENT SHEIKHUPURA,0.0,0.0,True
Customer,100516,SOHAIL ASGHAR AGENCIES (RAHIMYARKHAN),0.0,0.0,True
Customer,100517,AL SAEED TRADERS GUJRAT MANDI,0.0,0.0,True
Customer,100518,NEW R.C.I ENTERPRISES GUJRAT,0.0,0.0,True
Customer,100519,AMIR SB LAHORE,0.0,0.0,True
Customer,100520,AHMED ALI SHAHDRA LAHORE,0.0,0.0,True
Customer,100521,ZAKAT,0.0,0.0,True
Customer,100523,WASEEM IQBAL HEADKHAN,0.0,0.0,True
Customer,100526,JAVED SB KHARAIN,0.0,0.0,True
Customer,100527,SARMAD SB MANGOWAL,0.0,0.0,True
Customer,100530,AL-QASIM TRADERS JPS,0.0,0.0,True
Customer,100532,ASIM TRADER FAISALABAD,0.0,0.0,True
Customer,100533,MALIK SHANI NAJAAN,0.0,0.0,True
Customer,100534,DAUD TRADERS SARGODHA,0.0,0.0,True
Customer,100535,SHAH SALMAN (PARLEY),0.0,0.0,True
Customer,100537,MA SHAH ALLAH KARYANA STORE DONGA BONGA,0.0,0.0,True
Customer,100541,B & B PLASTIC SHEIKHUPURA,0.0,0.0,True
Customer,100544,NAWAZ TRADERS MANGOWAL,0.0,0.0,True
Customer,100548,GULISTAN KHAN NOODLES,0.0,0.0,True
Customer,100550,SACHAL MART,0.0,0.0,True
Customer,100551,ZEESHAN TRADERS BORAYWALA,0.0,0.0,True
Customer,100553,TALIB HUSSAIN MANGOWAL,0.0,0.0,True
Customer,100554,QARI BAKHTIYAR SB AFGANISTAN,0.0,0.0,True
Customer,100555,SHAHDOLHA PRESS,0.0,0.0,True
Customer,100556,99 ELECTRIC STORE FAISLABAD,0.0,0.0,True
Customer,100558,IMRAN DANISH FAISALABAD,0.0,0.0,True
Customer,100559,MUJAHID TRADERS MANGOWAL,0.0,0.0,True
Customer,100561,MEHAR KARYANA SABZI MANDI JPJ,0.0,0.0,True
Customer,100562,NERMA SOAP SIALKOT,0.0,0.0,True
Customer,100563,HAJI NAZIR AKHTAR - PERSONAL A/C,0.0,0.0,True
Customer,100564,FAHAD TRADER NODDLE LAHORE,0.0,0.0,True
Customer,100565,RAJA TRADERS SHAKEEL AHMED,0.0,0.0,True
Customer,100566,HAJI BASHIR TRADER KOTLA,0.0,0.0,True
Customer,100567,QARI ABDUL KHALIQ TANDA,0.0,0.0,True
Customer,100568,KAMRAN TRADER SHADIWAL ROAD,0.0,0.0,True
Customer,100570,HABIB KARYANA STORE KARIANWALA,0.0,0.0,True
Customer,100571,SHAKEEL GENERAL KHI,0.0,0.0,True
Customer,100572,SAIF ULLAH KARYANA JALALPUR,0.0,0.0,True
Customer,100574,A-ONE TRADERS HAJI KHIZAR HAYAT,0.0,0.0,True
Customer,100578,KASHIF NIMKO,0.0,0.0,True
