10077,2020-02-10 00:00,'200037','V','MISC VENDOR',,,0,9500,'0','1','Admin',2020-02-11 12:52:41.391000,,,77,,'01','400001','PURCHASE A/C'
10078,2020-02-10 00:00,'200037','V','MISC VENDOR',,,0,95000,'0','1','Admin',2020-02-11 12:53:26.534000,,,78,,'01','400001','PURCHASE A/C'
10079,2020-02-09 00:00,'200035','V','ALPHA CHEMICALS ',,,6,131000,'1','1','Admin',2020-02-12 11:06:30.275000,,,79,,'01','400001','PURCHASE A/C'
10080,2020-02-12 00:00,'200037','V','MISC VENDOR',,,0,16488,'1','1','Admin',2020-02-12 11:08:49.619000,'3 DRUMS PUR FROM SHAFI SONS ','INV # 9198',80,,'01','400001','PURCHASE A/C'
10081,2020-02-12 00:00,'200015','V','CH SEHNA ','LALAMUSA','LALAMUSA',0,543500,'1','1','HAMMAD',2020-02-12 15:05:50.957000,,'200 BAGS OF 50 KGS',81,'LALAMUSA','01','400001','PURCHASE A/C'
10082,2020-02-12 00:00,'200010','V','OLYMPIA CHEMICALS LIMITED ','QAIDABAD','QAIDABAD',0,1063600,'1','1','HAMMAD',2020-02-12 15:06:31.997000,,,82,'QAIDABAD','01','400001','PURCHASE A/C'
10083,2020-02-12 00:00,'200013','V','AMMAR GRINDING MILLS','PLOT # 75A, PHASE 3, HATTAR INDUSTRIAL ESTATE, HARIPUR','HARIPUR',0,76140,'1','1','Admin',2020-02-12 15:12:26.652000,,,83,'HARIPUR','01','400001','PURCHASE A/C'
10084,2020-02-12 00:00,'200019','V','NAEEM PACKAGES','GUJRANWALA','GUJRANWALA',0,1745934,'1','1','Admin',2020-02-12 18:34:29.526000,,,84,'GUJRANWALA','01','400001','PURCHASE A/C'
10085,2020-02-12 00:00,'200037','V','MISC VENDOR',,,0,6500,'0','1','Admin',2020-02-12 18:48:37.157000,,,85,,'01','400001','PURCHASE A/C'
10086,2020-02-13 00:00,'200007','V','FAZAL QADIR MARBLE INDUSTRY','OPP. KUND PARK G.T.ROAD KHAIRAABAD ','NOWSHERA, KPK',0,19800,'1','1','Admin',2020-02-13 12:44:34.344000,,'delivery challan # 456',86,'NOWSHERA, KPK','01','400001','PURCHASE A/C'
10087,2020-02-13 00:00,'200016','V','FAMILY FOODS INDUSTRIES ','G.T. ROAD GUJRANWALA','GUJRANWALA',0,94500,'1','1','Admin',2020-02-13 12:45:59.488000,,'inv # 2080',87,'GUJRANWALA','01','400001','PURCHASE A/C'
10088,2020-02-13 00:00,'200013','V','AMMAR GRINDING MILLS','PLOT # 75A, PHASE 3, HATTAR INDUSTRIAL ESTATE, HARIPUR','HARIPUR',0,117000,'1','1','Admin',2020-02-13 12:53:16.072000,,'delivery challan # 611 ',88,'HARIPUR','01','400001','PURCHASE A/C'
10089,2020-02-13 00:00,'200037','V','MISC VENDOR',,,0,61200,'0','1','Admin',2020-02-13 13:26:52.953000,,,89,,'01','400001','PURCHASE A/C'
10090,2020-02-13 00:00,'200037','V','MISC VENDOR',,,0,6200,'0','1','Admin',2020-02-13 14:14:30.777000,,'BILL # 62',90,,'01','400001','PURCHASE A/C'
10091,2020-02-13 00:00,'200032','V','TACTIC TRADERS KARACHI','JODIYA BAZAR','KARACHI',0,1377000,'1','1','HAMMAD',2020-02-13 19:34:52.340000,'120 BAGS SPECKLES\x0d\x0a855 BAGS SODIUM','BILL NO. 2321-03-02-2020',91,'KARACHI','01','400001','PURCHASE A/C'
10092,2020-02-15 00:00,'200002','V','HORIZON PAPER MILLS','MR. ASHFAQ','HATTAR',0,807378,'1','1','Admin',2020-02-15 11:57:32.433000,,,92,'HATTAR','01','400001','PURCHASE A/C'
